StockName,StockPrice,Earn_Value_Per_Share,Book_Value_Per_Share
9.49076320811e-312,9.4907621618e-312,9.490758915037e-312,9.77085426560488e-153
A,null,4.18,17.97
AAL,null,0.19,-8.91
AAP,null,7.8,45.86
AAPL,null,5.89,3.581
ABBV,null,6.63,9.75
ABC,null,8.24,-0.881
ABT,null,3.91,21.11
ACGL,null,3.85,32.81
ACN,null,11.01,36.5
ADBE,null,9.33,30.41
ADI,null,6.6,72.22
ADM,null,7.71,44.39
ADP,null,7.51,7.21
ADSK,null,2.46,5.3
AEE,null,4.14,40.11
AEP,null,4.49,46.5
AES,null,-0.43,2.391
AFL,null,6.59,36.35
AIG,null,13.01,53.83
AIZ,null,5.06,80.04
AJG,null,5.19,43.15
AKAM,null,3.16,27.95
ALB,null,22.83,68.13
ALGN,null,4.62,46.45
ALK,null,0.44,29.92
ALL,null,-5.22,58.95
ALLE,null,5.19,10.72
AMAT,null,7.46,15.88
AMCR,null,0.71,2.934
AMD,null,0.82,33.94
AME,null,5.0,32.5
AMGN,null,12.12,6.86
AMP,null,22.53,34.32
AMT,null,3.82,11.97
AMZN,null,-0.26,14.26
ANET,null,2.91,15.92
ANSS,null,5.91,55.96
AON,null,12.13,-2.575
AOS,null,1.51,11.56
APA,null,11.02,1.358
APD,null,10.14,62.75
APH,null,3.06,11.79
APTV,null,1.93,32.51
ARE,null,3.19,111.11
ATO,null,5.65,68.71
ATVI,null,1.92,24.54
AVB,null,8.12,80.54
AVGO,null,26.46,54.33
AVY,null,9.21,25.15
AWK,null,4.51,42.3
AXP,null,9.84,33.26
AZO,null,117.63,-204.18
BA,null,-7.91,-26.58
BAC,null,3.19,30.61
BALL,null,2.25,11.02
BAX,null,-4.79,11.56
BBWI,null,3.4,-9.59
BBY,null,6.68,13.29
BDX,null,5.19,89.72
BEN,null,1.96,23.32
BIIB,null,20.71,92.98
BIO,null,-123.81,324.89
BK,null,2.9,44.4
BKNG,null,60.58,73.47
BKR,null,-0.61,14.31
BLK,null,33.95,252.04
BMY,null,2.95,14.8
BR,null,4.49,15.18
BRO,null,2.37,16.27
BSX,null,0.45,12.32
BWA,null,3.99,30.86
BXP,null,2.927,37.01
C,null,7.11,94.06
CAG,null,1.41,18.18
CAH,null,-4.56,-8.54
CARR,null,4.1,9.3
CAT,null,12.65,30.73
CB,null,12.55,121.9
CBOE,null,2.19,32.71
CBRE,null,4.3,25.87
CCI,null,3.86,17.2
CCL,null,-5.02,5.61
CDAY,null,-0.47,13.71
CDNS,null,3.04,10.07
CDW,null,8.12,11.83
CE,null,17.41,51.95
CEG,null,-0.49,33.69
CF,null,16.38,25.82
CFG,null,4.1,44.03
CHD,null,1.68,14.31
CHRW,null,7.4,11.63
CHTR,null,30.14,59.74
CI,null,21.29,150.24
CINF,null,-3.06,67.03
CL,null,2.13,0.483
CLX,null,3.52,2.6
CMA,null,8.47,36.55
CMCSA,null,1.21,19.18
CME,null,7.4,74.89
CMG,null,32.44,85.71
CMI,null,15.13,63.52
CMS,null,2.84,23.32
CNC,null,2.07,43.68
CNP,null,1.59,14.7
COF,null,17.91,125.19
COO,null,7.78,145.53
COP,null,14.57,39.22
COST,null,13.25,48.38
CPB,null,2.64,11.6
CPRT,null,2.27,10.94
CPT,null,6.04,46.82
CRL,null,9.55,58.42
CSCO,null,2.73,10.13
CSGP,null,0.93,16.89
CSX,null,1.95,6.11
CTAS,null,12.31,33.77
CTLT,null,2.25,27.29
CTRA,null,5.09,16.21
CTSH,null,4.41,24.18
CTVA,null,1.67,35.47
CVS,null,3.14,54.63
CVX,null,18.28,83.17
CZR,null,-2.22,17.3
D,null,1.072,31.25
DAL,null,2.08,10.31
DD,null,2.02,57.99
DE,null,26.9,71.99
DFS,null,15.5,54.64
DG,null,10.29,27.26
DHI,null,16.1,58.71
DHR,null,9.67,66.47
DIS,null,1.82,52.66
DISH,null,3.32,33.78
DLR,null,1.11,57.88
DLTR,null,7.16,37.41
DOV,null,7.43,30.68
DOW,null,6.28,29.39
DPZ,null,12.52,-118.27
DRI,null,7.25,16.58
DTE,null,5.52,50.56
DUK,null,4.9,61.66
DVA,null,5.75,7.88
DVN,null,9.12,17.1
DXC,null,2.88,20.29
DXCM,null,0.82,5.52
EA,null,3.75,27.45
EBAY,null,-2.32,9.56
ECL,null,3.8,25.43
ED,null,4.66,58.45
EFX,null,5.65,32.3
EIX,null,1.6,35.7
EL,null,4.14,16.53
ELV,null,24.8,152.58
EMN,null,6.35,43.4
EMR,null,4.72,18.77
ENPH,null,2.85,6.05
EOG,null,13.22,42.16
